ticket_id,customer_segment,product_area,priority,channel,agent_tenure_months,first_response_min,resolution_min,reopen_count,csat_1_5,refund_requested,escalation,bug_confirmed,sentiment_score,sla_breached
200029,SMB,billing,low,chat,13.4,28.7,129.5,0,5,0,0,0,0.746,0
200030,SMB,login,high,chat,44.4,4.5,318.3,1,5,0,1,1,0.02,0
200031,Enterprise,performance,medium,chat,29.4,7.6,765.4,0,4,0,1,1,-0.07,1
200032,SMB,mobile,medium,chat,27.3,7.6,991.7,0,4,0,0,1,0.544,1
200033,Enterprise,performance,low,email,4.7,97.5,952.1,0,5,0,0,0,-0.409,0
200034,Consumer,performance,high,chat,38.2,11.8,1326.3,0,4,0,0,0,0.107,1
200035,SMB,login,urgent,community,21.2,334.5,192.4,0,4,0,0,0,0.108,1
200036,Consumer,login,medium,phone,29.7,12.4,185.1,0,5,0,1,0,0.478,0
200037,Consumer,billing,medium,phone,15.1,4.1,748.6,0,4,0,1,0,-0.052,1
200038,Consumer,billing,low,community,26.9,296.2,622.5,0,3,0,0,0,0.103,0
200039,Consumer,login,medium,phone,10.0,6.4,1086.5,0,4,0,0,1,-0.155,1
200040,Consumer,login,medium,chat,31.3,16.1,227.0,1,4,0,0,0,-0.196,0
200041,Consumer,billing,medium,community,13.5,193.7,248.4,0,5,0,0,0,-0.323,0
200042,Consumer,performance,low,email,71.4,55.4,1160.3,0,4,0,0,1,0.037,0
200043,Consumer,billing,medium,email,22.7,58.4,626.5,0,4,0,0,0,0.129,0
200044,Consumer,billing,low,chat,2.5,15.1,415.7,0,4,1,0,0,0.578,0
200045,Enterprise,performance,medium,chat,6.3,8.1,762.3,1,4,0,0,0,-0.072,1
200046,Consumer,performance,low,email,5.5,37.9,279.8,1,3,0,0,0,-0.102,0
200047,Consumer,login,medium,email,15.6,40.0,144.2,0,5,0,0,0,0.558,0
200048,Consumer,performance,urgent,phone,37.2,3.9,881.9,0,4,0,0,0,-0.528,1
200049,Consumer,performance,high,phone,27.5,5.9,712.8,0,4,0,0,0,0.13,1
200050,SMB,integrations,low,phone,16.3,8.6,554.6,1,5,0,0,1,-0.002,0
200051,Consumer,billing,low,chat,31.2,12.0,355.4,0,5,0,0,0,0.415,0
200052,Consumer,billing,low,email,38.6,69.8,426.5,1,3,0,0,0,0.46,0
200053,Consumer,performance,high,email,14.1,69.6,1499.6,1,2,0,1,1,-0.255,1
200054,Consumer,billing,low,email,24.1,126.6,823.8,1,3,0,0,1,-0.294,0
200055,SMB,billing,medium,community,19.8,172.9,663.4,0,5,1,0,0,-0.345,0
200056,SMB,performance,low,chat,49.7,16.2,439.6,0,5,0,0,1,0.314,0
200057,Consumer,integrations,low,email,9.6,72.5,1157.0,0,5,0,0,0,0.44,0
200058,Consumer,login,medium,email,24.8,59.7,264.2,0,4,0,0,0,0.176,0
200059,Consumer,mobile,low,phone,33.5,10.5,63.3,0,5,0,0,0,0.197,0
200060,Enterprise,login,low,email,27.2,138.7,335.2,0,4,0,0,0,0.229,0
200061,SMB,integrations,medium,phone,13.8,3.9,211.8,1,4,0,0,0,0.168,0
200062,SMB,integrations,medium,email,5.3,50.9,459.1,0,4,0,0,0,0.262,0
200063,Consumer,login,medium,chat,21.9,7.5,154.7,0,5,0,0,0,0.257,0
200064,Enterprise,performance,medium,phone,22.1,9.4,360.2,0,3,0,0,0,0.202,0
200065,Consumer,billing,low,community,14.7,204.5,334.5,0,4,0,0,0,0.415,0
200066,Consumer,login,medium,chat,18.5,21.7,537.8,0,5,0,0,0,0.539,0
200067,Consumer,performance,urgent,email,3.6,46.7,750.8,0,4,0,0,0,-0.088,1
200068,Consumer,integrations,medium,email,29.4,46.3,226.0,0,4,0,0,0,0.339,0
200069,SMB,api,medium,email,8.0,34.1,2431.8,1,3,0,0,0,-0.332,1
200070,Consumer,mobile,low,email,51.4,50.6,233.1,0,4,0,0,0,0.255,0
200071,Consumer,api,medium,phone,15.5,8.9,1234.4,0,4,0,0,0,-0.068,1
200072,Enterprise,api,low,phone,7.1,12.6,306.3,0,4,0,0,0,0.374,0
200073,SMB,login,low,phone,45.3,10.6,827.2,0,5,1,0,0,0.298,0
200074,Enterprise,billing,urgent,community,6.0,128.8,996.0,0,4,0,0,0,0.307,1
200075,Consumer,login,medium,chat,18.5,7.0,144.4,1,5,0,0,0,0.139,0
200076,Consumer,mobile,low,phone,37.1,3.3,1609.4,0,3,0,1,1,-0.108,1
200077,SMB,mobile,urgent,phone,21.5,9.3,914.9,1,3,1,0,0,-0.193,1
200078,Consumer,integrations,medium,email,19.9,36.5,633.8,0,4,0,0,1,-0.103,0
200079,Consumer,integrations,high,email,22.9,22.5,573.7,0,4,0,0,0,-0.054,1
200080,Consumer,billing,low,email,16.5,45.2,573.0,0,4,0,1,0,0.246,0
200081,SMB,api,medium,phone,30.6,10.3,1158.9,0,5,0,0,0,0.216,1
200082,Consumer,login,high,chat,17.4,10.2,177.1,0,4,1,0,0,0.04,0
200083,Enterprise,mobile,medium,chat,49.4,13.1,294.2,0,4,0,0,1,0.562,0
200084,Consumer,billing,low,email,18.6,152.7,231.0,0,5,0,0,0,0.124,0
200085,Consumer,login,medium,chat,26.2,8.7,468.9,0,5,0,0,1,0.429,0
200086,SMB,login,low,email,26.1,185.5,127.3,0,5,0,0,0,0.632,0
200087,SMB,api,high,community,0.7,37.9,873.1,1,3,0,0,1,-0.416,1
200088,Consumer,integrations,low,community,60.6,501.8,798.0,2,4,0,0,1,-0.501,0
200089,SMB,billing,medium,phone,52.2,13.4,373.3,0,4,0,0,0,0.21,0
200090,Consumer,billing,medium,community,8.3,377.9,897.2,1,3,0,1,1,-0.081,1
200091,Consumer,mobile,high,email,9.5,44.1,937.4,0,3,0,0,0,-0.058,1
200092,Enterprise,login,high,email,39.6,80.2,416.4,0,3,0,0,0,0.03,1
200093,SMB,api,low,phone,40.1,15.4,820.0,0,5,0,0,0,0.437,0
200094,Consumer,integrations,medium,email,25.0,15.5,971.3,0,4,0,0,0,-0.262,1
200095,Consumer,login,urgent,email,32.1,11.5,413.0,0,4,0,0,0,0.232,1
200096,Consumer,billing,low,email,16.9,99.7,229.3,0,4,0,1,0,0.473,0
200097,Consumer,billing,low,chat,30.4,36.6,363.3,0,4,0,0,0,0.065,0
200098,SMB,performance,high,email,20.9,22.5,312.0,0,5,1,0,0,0.48,0
200099,Consumer,performance,high,phone,9.7,13.4,671.7,0,3,0,0,1,0.263,1
200100,SMB,login,medium,email,45.9,42.8,178.1,0,5,0,0,0,0.365,0
200101,SMB,login,urgent,email,19.5,23.0,368.0,0,4,0,0,0,0.386,1
200102,Consumer,mobile,medium,email,25.2,89.9,249.3,0,4,0,0,0,-0.017,0
200103,Consumer,billing,high,chat,25.4,6.6,1061.4,0,3,0,0,0,0.291,1
200104,Consumer,billing,medium,phone,4.0,17.1,402.9,0,4,0,0,1,0.22,0
200105,Consumer,login,low,chat,57.0,10.9,222.1,1,4,0,0,1,0.439,0
200106,Enterprise,mobile,low,community,16.4,195.0,938.7,1,4,0,0,1,0.271,0
200107,Consumer,billing,medium,chat,18.3,12.9,486.6,0,4,0,0,0,0.556,0
200108,Consumer,api,low,phone,13.5,21.9,784.1,1,3,0,0,1,0.053,0
200109,Consumer,billing,medium,email,8.1,106.2,162.7,0,4,0,0,0,0.329,0
200110,SMB,integrations,high,community,21.2,368.3,678.6,1,3,0,0,0,0.116,1
200111,Consumer,api,low,chat,19.5,28.0,604.2,0,4,0,0,0,0.184,0
200112,SMB,login,low,phone,37.7,7.8,767.2,1,4,0,0,1,-0.286,0
200113,Consumer,integrations,low,community,34.2,349.7,321.6,0,3,0,0,0,0.011,0
200114,Enterprise,login,low,email,17.7,67.6,137.8,0,4,0,0,0,0.48,0
200115,Consumer,mobile,high,chat,8.8,6.1,689.4,1,3,0,0,0,0.197,1
200116,Consumer,integrations,low,community,10.1,113.4,894.1,1,4,0,0,0,-0.117,0
200117,Consumer,mobile,medium,chat,27.7,10.7,884.8,1,3,0,0,1,-0.059,1
200118,Consumer,login,low,chat,12.3,12.6,149.0,0,5,0,0,0,0.315,0
200119,Consumer,performance,high,phone,21.3,5.6,528.0,1,3,0,0,1,-0.154,1
200120,Consumer,mobile,medium,chat,12.6,6.3,311.9,0,5,0,0,0,-0.23,0
200121,Consumer,login,high,community,14.9,344.5,416.3,0,4,1,0,0,0.211,1
200122,Consumer,mobile,medium,phone,21.6,2.1,1025.1,1,4,0,0,1,0.015,1
200123,SMB,billing,low,phone,13.6,3.4,115.0,0,5,0,0,0,0.394,0
200124,Consumer,integrations,high,email,19.2,23.6,953.2,0,4,0,0,1,0.13,1
200125,SMB,login,low,chat,9.4,10.3,390.2,0,4,0,0,0,0.446,0
200126,Consumer,integrations,medium,email,19.8,56.7,885.6,0,4,0,1,1,0.101,1
200127,Consumer,performance,low,chat,18.9,48.3,259.9,0,4,0,0,0,0.654,0
200128,SMB,api,urgent,chat,9.9,5.8,304.0,1,4,0,0,0,0.114,1
200129,Consumer,performance,high,chat,9.8,54.4,530.2,0,5,0,0,1,-0.27,1
200130,SMB,login,low,email,11.5,36.5,131.5,0,4,0,0,0,0.158,0
200131,SMB,billing,high,phone,23.2,5.9,2675.2,1,3,0,0,1,-0.436,1
200132,SMB,login,urgent,email,41.5,25.4,234.5,0,5,0,0,0,-0.211,1
200133,SMB,billing,medium,phone,21.0,19.6,443.5,0,4,0,0,0,0.261,0
200134,Consumer,billing,low,chat,19.0,11.7,170.0,0,4,1,0,0,0.201,0
200135,Consumer,mobile,medium,email,10.6,104.5,1283.3,0,4,0,0,0,0.298,1
200136,Consumer,api,medium,email,31.4,197.9,470.3,0,5,0,0,0,0.539,0
200137,Consumer,mobile,medium,chat,34.3,12.9,1709.6,0,4,0,0,1,-0.264,1
200138,Consumer,performance,high,chat,38.4,3.8,1486.6,0,4,0,0,1,-0.089,1
200139,SMB,login,medium,chat,6.9,49.1,203.5,0,5,0,1,0,0.498,0
200140,Consumer,api,urgent,phone,34.1,3.2,1409.5,1,5,0,0,0,-0.086,1
200141,Consumer,api,low,community,32.5,726.4,775.1,0,4,1,0,0,0.198,0
200142,Consumer,performance,high,email,37.8,25.1,1047.8,1,4,0,0,1,-0.002,1
200143,Consumer,api,high,email,6.4,82.1,2247.8,1,4,0,0,0,-0.536,1
200144,Enterprise,performance,high,chat,8.3,5.8,2171.3,2,3,0,1,0,-0.028,1
200145,SMB,login,urgent,chat,15.8,11.6,278.1,0,4,0,0,0,-0.138,1
200146,Consumer,login,medium,email,49.8,102.0,342.0,0,4,0,0,0,0.43,0
200147,Consumer,mobile,low,chat,22.9,23.7,231.0,0,5,0,0,0,0.593,0
200148,SMB,performance,medium,chat,30.2,10.2,912.2,0,3,0,0,1,0.034,1
200149,Consumer,api,low,phone,1.4,7.4,478.0,0,5,0,0,1,0.217,0
200150,Enterprise,login,medium,phone,19.3,7.9,240.3,0,5,1,1,0,0.224,0
200151,SMB,mobile,medium,email,32.9,48.7,522.0,1,4,0,0,0,0.407,0
200152,Consumer,integrations,high,email,5.9,90.6,884.5,0,5,0,0,0,0.165,1
200153,Consumer,api,high,email,18.7,34.3,591.3,0,4,0,0,1,0.189,1
200154,SMB,performance,high,email,29.9,30.8,1190.1,0,4,0,0,0,0.171,1
200155,Consumer,integrations,low,email,5.7,64.9,295.9,0,4,0,0,0,0.233,0
200156,SMB,login,low,community,34.7,202.2,188.5,0,4,0,0,0,0.29,0
200157,SMB,billing,medium,community,10.1,625.4,382.5,0,5,0,0,0,0.556,0
200158,SMB,billing,medium,chat,20.3,7.1,288.6,0,5,0,0,0,0.342,0
200159,Consumer,billing,high,chat,13.2,6.7,321.9,0,4,0,0,0,0.473,0
200160,Consumer,billing,medium,community,38.0,286.7,413.4,0,5,1,0,1,0.89,0
200161,Consumer,login,medium,email,24.7,28.4,546.0,0,4,0,0,0,0.289,0
200162,Consumer,mobile,medium,chat,12.7,8.3,933.2,2,4,0,0,1,-0.374,1
200163,Consumer,integrations,medium,chat,14.6,33.5,314.4,0,5,0,0,0,0.661,0
200164,Enterprise,login,medium,email,65.6,34.3,228.1,0,4,0,0,1,0.563,0
200165,Consumer,login,low,email,22.3,81.5,101.5,0,5,0,0,0,0.267,0
200166,SMB,login,low,email,38.1,84.6,136.1,0,5,0,0,1,0.255,0
200167,Enterprise,login,high,chat,18.5,6.0,915.5,0,4,0,1,0,-0.534,1
200168,Consumer,integrations,medium,chat,5.8,15.1,530.4,1,5,0,0,0,0.121,0
200169,Consumer,billing,medium,chat,47.8,7.8,976.0,1,3,0,0,1,-0.187,1
200170,SMB,performance,low,email,40.6,53.5,965.2,0,5,0,0,1,0.04,0
200171,SMB,integrations,high,chat,16.1,10.2,1052.9,0,4,0,0,0,0.424,1
200172,Consumer,login,medium,chat,19.7,8.9,196.5,1,5,0,0,0,0.135,0
200173,Consumer,mobile,medium,community,11.1,262.0,186.9,0,5,0,0,1,0.61,0
200174,Consumer,integrations,urgent,email,17.3,67.1,517.0,0,4,0,0,0,-0.006,1
200175,Consumer,integrations,high,email,6.4,52.2,716.9,0,5,0,1,0,-0.074,1
200176,Consumer,api,high,email,29.5,52.6,386.5,0,4,0,0,0,0.243,1
200177,Consumer,billing,high,community,21.7,84.0,424.8,1,4,0,0,0,-0.361,1
200178,SMB,integrations,low,chat,28.6,25.9,516.1,0,4,0,0,0,-0.092,0
200179,SMB,billing,low,email,4.3,112.1,190.5,0,5,0,0,0,0.67,0
200180,Consumer,login,high,chat,31.3,14.5,124.6,0,5,0,0,0,0.245,0
200181,Consumer,billing,low,email,40.9,116.9,72.6,0,5,0,0,0,0.331,0
200182,Consumer,login,low,phone,8.4,8.2,126.2,0,4,0,0,1,0.609,0
200183,Consumer,integrations,medium,chat,12.2,11.7,693.0,1,4,0,0,0,-0.2,0
200184,Consumer,mobile,low,email,34.1,34.5,254.7,1,4,0,0,0,-0.161,0
200185,Consumer,login,medium,email,20.7,41.0,55.2,0,4,0,0,0,0.301,0
200186,SMB,mobile,medium,email,9.9,41.6,849.2,0,4,0,0,0,-0.237,1
200187,SMB,login,medium,phone,34.6,8.8,574.7,0,5,0,1,1,0.035,0
200188,Enterprise,login,medium,community,5.2,135.1,804.5,2,3,0,1,1,-0.469,1
200189,SMB,mobile,urgent,chat,30.3,3.5,825.6,0,3,0,0,0,0.295,1
200190,Consumer,mobile,high,chat,1.8,8.1,767.3,0,3,0,0,0,-0.165,1
200191,Consumer,mobile,low,chat,9.9,6.5,557.4,0,5,1,0,0,0.444,0
200192,SMB,mobile,medium,email,16.9,59.1,594.2,0,4,0,0,0,0.767,0
200193,SMB,billing,high,community,29.6,234.2,386.3,0,4,0,1,0,0.474,1
200194,Enterprise,api,low,phone,50.1,14.1,973.5,0,5,0,1,0,0.058,0
200195,SMB,billing,medium,chat,31.4,20.0,172.1,0,5,0,0,0,0.604,0
200196,Enterprise,login,low,email,12.3,62.0,301.6,0,4,0,0,0,-0.13,0
200197,Consumer,integrations,high,email,22.1,43.4,1614.3,1,3,0,0,1,-0.87,1
200198,Consumer,login,high,chat,6.7,9.6,534.2,0,3,0,0,0,0.211,1
200199,Consumer,api,medium,phone,9.7,5.5,475.9,0,5,0,0,0,0.679,0
200200,Consumer,integrations,low,phone,51.5,8.0,522.2,0,5,0,0,1,0.116,0
200201,Consumer,billing,low,email,4.6,102.1,593.8,1,4,0,1,0,0.136,0
200202,Consumer,mobile,medium,chat,18.8,13.0,274.6,0,5,0,0,0,0.425,0
200203,Consumer,billing,medium,email,15.7,30.7,115.5,0,5,0,0,0,0.459,0
200204,SMB,billing,high,chat,31.7,11.2,370.0,0,4,0,0,0,0.015,1
200205,Consumer,integrations,low,chat,23.7,6.9,185.3,0,4,0,0,1,-0.15,0
200206,Enterprise,login,high,chat,10.4,14.5,572.0,0,4,0,1,0,0.174,1
200207,Consumer,performance,high,email,17.9,38.7,927.8,1,4,0,0,1,-0.504,1
200208,Consumer,api,low,email,18.1,79.4,213.4,1,4,0,0,0,-0.481,0
200209,Consumer,integrations,medium,chat,23.8,24.4,435.3,0,5,0,1,0,0.355,0
200210,Consumer,integrations,medium,chat,11.7,4.8,1200.5,0,4,0,0,1,0.322,1
200211,Enterprise,mobile,medium,email,23.7,29.5,1867.0,1,4,0,0,0,-0.279,1
200212,Consumer,performance,low,email,8.4,32.4,312.5,0,4,0,1,0,0.204,0
200213,Consumer,billing,medium,phone,5.2,4.7,457.9,0,5,0,0,0,0.146,0
200214,Consumer,login,urgent,email,11.9,25.8,470.7,0,4,0,1,0,0.111,1
200215,Consumer,billing,high,email,24.7,35.0,513.5,0,3,0,0,1,0.361,1
200216,Consumer,login,low,email,4.8,83.9,232.9,0,5,0,0,0,0.288,0
200217,Consumer,api,low,email,23.2,101.5,1053.5,0,4,0,0,0,0.327,0
200218,Consumer,api,high,email,16.9,118.7,2551.3,0,4,0,0,0,-0.187,1
200219,Enterprise,performance,high,phone,21.9,5.2,1084.3,0,5,0,0,0,-0.052,1
200220,SMB,mobile,high,email,8.0,45.3,543.7,0,3,0,0,0,0.146,1
200221,Consumer,api,medium,chat,20.8,3.9,687.1,0,4,0,0,0,0.176,0
200222,Consumer,performance,low,phone,29.0,22.0,638.4,0,5,0,0,0,0.001,0
200223,Enterprise,performance,medium,chat,21.1,4.8,305.8,1,4,0,0,1,-0.21,0
200224,Consumer,mobile,medium,phone,31.4,6.1,1472.2,1,4,0,0,0,0.092,1
200225,Consumer,performance,medium,phone,6.2,3.8,610.7,0,4,0,0,0,0.264,0
200226,SMB,mobile,medium,chat,7.1,24.7,284.5,0,4,0,0,0,0.583,0
200227,Consumer,api,high,phone,30.4,6.5,2059.3,1,3,0,0,1,-0.113,1
200228,Consumer,billing,low,email,36.7,79.9,825.7,0,5,0,0,1,0.291,0
200229,Consumer,billing,high,community,15.7,92.3,1254.4,0,5,0,0,0,-0.238,1
200230,SMB,performance,high,email,22.4,82.2,590.0,1,4,0,0,1,-0.265,1
200231,Consumer,api,low,phone,27.0,10.1,1099.5,2,4,0,0,1,-0.184,0
200232,SMB,performance,medium,chat,26.0,5.9,514.9,1,4,0,0,1,-0.08,0
200233,Consumer,login,low,email,12.1,220.6,871.4,1,4,0,0,1,-0.348,0
200234,SMB,login,low,chat,14.2,6.8,204.6,0,5,0,0,0,-0.129,0
200235,Consumer,mobile,low,phone,14.5,6.8,495.5,0,5,0,1,0,0.236,0
200236,Consumer,api,medium,email,17.5,44.8,849.2,2,3,0,0,1,-0.337,1
200237,Consumer,integrations,low,phone,5.6,3.8,1078.1,0,5,0,0,0,-0.019,0
200238,Consumer,billing,low,phone,50.6,5.0,185.6,0,5,0,0,0,0.654,0
200239,SMB,integrations,medium,email,53.7,25.6,1261.7,0,4,0,0,0,0.329,1
200240,SMB,mobile,low,email,14.1,189.9,1174.4,0,5,0,0,1,-0.231,0
200241,Consumer,integrations,high,phone,9.6,2.7,1410.3,1,4,0,0,0,-0.312,1
200242,Consumer,login,medium,email,3.2,43.1,78.5,0,4,0,0,0,0.271,0
200243,Enterprise,integrations,high,email,31.2,56.4,970.6,0,4,0,0,0,0.221,1
200244,Consumer,login,medium,chat,7.7,11.0,151.5,0,4,0,0,0,0.051,0
200245,SMB,performance,medium,phone,30.9,13.8,1488.9,0,4,0,0,0,-0.082,1
200246,Enterprise,performance,medium,community,13.6,145.3,751.6,0,5,0,0,0,-0.096,1
200247,Consumer,billing,medium,email,19.0,41.9,234.0,0,4,0,0,0,0.603,0
200248,Consumer,integrations,medium,email,7.0,59.3,231.1,0,5,0,0,0,0.024,0
200249,Consumer,login,low,phone,12.9,12.0,104.5,1,5,0,0,0,0.333,0
200250,Enterprise,billing,medium,chat,26.3,12.4,319.1,0,4,0,0,0,0.972,0
200251,Consumer,api,low,email,4.8,68.9,371.8,0,5,0,1,0,0.417,0
200252,Consumer,integrations,high,chat,40.2,13.4,3015.2,0,2,0,1,0,-0.242,1
200253,SMB,mobile,low,email,34.3,68.8,237.7,0,4,0,0,0,0.159,0
200254,Consumer,performance,medium,email,23.2,110.7,293.1,0,4,0,0,0,0.302,0
200255,Consumer,login,low,email,28.0,43.9,175.9,0,4,0,1,0,0.049,0
200256,SMB,integrations,high,email,20.1,26.9,2588.2,0,3,0,1,1,0.023,1
200257,Enterprise,performance,medium,chat,6.9,8.1,771.6,0,3,0,0,0,-0.137,1
200258,Consumer,mobile,low,email,17.9,100.9,432.7,2,4,0,0,1,-0.309,0
200259,Consumer,performance,urgent,email,28.9,33.2,488.0,1,4,0,0,0,-0.336,1
200260,Consumer,performance,medium,email,18.8,62.0,505.5,1,4,0,0,1,-0.133,0
200261,Consumer,billing,high,community,6.1,369.4,935.0,0,4,0,0,0,-0.281,1
200262,Consumer,integrations,high,chat,7.9,11.6,5724.6,0,2,0,0,1,-0.504,1
200263,Consumer,billing,low,email,20.3,20.5,139.1,0,5,0,0,0,0.395,0
200264,SMB,mobile,high,chat,4.9,4.9,1433.6,0,4,0,0,1,-0.27,1
200265,Consumer,mobile,high,phone,23.7,4.7,141.2,0,5,0,0,0,0.386,0
200266,SMB,mobile,low,email,5.2,31.7,397.3,0,4,0,0,0,0.809,0
200267,SMB,api,low,email,22.0,105.1,3156.0,1,2,1,0,1,-0.382,1
200268,Consumer,mobile,medium,phone,10.9,4.5,576.7,0,5,0,0,0,0.084,0
200269,SMB,performance,low,chat,22.3,14.8,1385.1,1,4,0,0,1,-0.607,0
200270,SMB,mobile,low,email,11.2,88.1,669.4,0,3,0,0,0,0.064,0
200271,Consumer,billing,high,chat,4.5,5.0,939.0,1,4,0,1,1,-0.316,1
200272,SMB,performance,low,email,2.1,238.3,1477.2,1,3,0,0,1,-0.795,1
200273,SMB,mobile,low,email,23.3,162.3,232.6,0,5,0,0,0,0.269,0
200274,Consumer,login,high,chat,28.9,16.6,282.4,0,4,0,0,0,0.106,0
200275,Consumer,login,low,chat,17.8,11.1,191.8,0,4,0,0,0,0.024,0
200276,Enterprise,api,low,email,29.6,72.7,924.1,0,4,0,0,1,0.071,0
200277,Consumer,billing,low,chat,7.4,5.3,491.9,1,4,0,0,0,-0.235,0
200278,Enterprise,login,low,chat,11.9,8.6,456.7,0,5,0,0,0,0.25,0
200279,Consumer,performance,low,community,42.0,385.0,344.7,0,4,0,0,0,0.093,0
200280,SMB,api,medium,email,76.5,120.5,1654.5,0,4,0,1,0,-0.4,1
200281,SMB,api,low,chat,18.2,18.9,918.8,0,4,0,0,0,0.269,0
200282,Consumer,integrations,low,email,6.6,28.2,440.7,0,5,0,0,1,0.488,0
200283,Consumer,mobile,urgent,chat,16.7,11.0,1881.2,0,4,0,1,0,-0.103,1
200284,Consumer,login,medium,chat,12.3,15.5,268.4,0,5,0,0,0,0.454,0
200285,Consumer,mobile,low,chat,21.2,16.4,239.3,1,4,0,0,0,0.158,0
200286,Consumer,mobile,low,email,33.9,70.7,373.3,0,5,0,0,0,0.227,0
200287,Consumer,performance,low,email,8.0,87.7,286.6,0,5,0,0,1,0.601,0
200288,Consumer,mobile,high,phone,4.3,3.3,730.5,0,4,0,0,0,0.278,1
200289,Consumer,integrations,high,chat,11.6,15.6,694.0,2,3,0,0,0,-0.634,1
200290,SMB,performance,high,chat,19.3,52.5,642.3,0,4,0,0,0,-0.179,1
200291,SMB,performance,high,email,20.9,21.8,3363.4,0,4,0,0,1,-0.35,1
200292,SMB,billing,high,email,15.4,24.3,1218.7,0,3,0,0,0,-0.06,1
200293,Enterprise,billing,low,community,11.0,474.3,396.9,3,4,0,0,1,-0.505,0
200294,Consumer,api,low,chat,26.5,16.8,581.3,0,4,0,0,1,0.081,0
200295,Consumer,billing,low,chat,14.0,9.2,206.8,1,3,0,0,0,-0.257,0
200296,Consumer,billing,low,chat,20.0,10.5,200.7,0,5,0,0,0,0.442,0
200297,Consumer,api,high,email,19.0,178.4,847.3,0,3,0,0,0,-0.018,1
200298,Consumer,login,medium,chat,13.6,5.2,141.1,0,4,1,0,0,0.534,0
200299,SMB,login,high,phone,40.4,6.6,341.3,0,4,0,0,0,0.151,0
200300,Consumer,integrations,low,community,6.5,359.4,1628.1,1,4,0,1,1,-0.322,1
200301,Enterprise,login,low,community,21.2,451.9,131.0,0,5,0,0,0,0.202,0
200302,Enterprise,performance,medium,email,21.4,102.3,704.4,1,4,0,0,0,0.183,0
200303,Consumer,login,low,email,15.0,34.0,168.8,0,4,0,0,0,0.607,0
200304,Consumer,performance,high,email,21.0,26.1,295.8,0,4,0,0,0,0.003,0
200305,Consumer,performance,medium,phone,21.2,17.4,307.8,0,5,0,0,0,0.406,0
200306,SMB,mobile,high,chat,9.0,8.3,1208.9,1,3,0,0,0,0.044,1
200307,Enterprise,performance,low,email,73.2,138.1,437.4,0,5,0,0,0,0.006,0
200308,Consumer,integrations,medium,community,43.8,315.9,910.4,0,3,0,0,0,-0.17,1
200309,Consumer,api,low,phone,23.0,36.1,114.4,0,5,0,0,0,0.592,0
200310,Consumer,integrations,medium,chat,50.4,11.9,2028.9,2,3,0,0,1,-0.349,1
